                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6311,                  5.124,                 1.2195,                      0,                      0,                      0,                      0,                 1.3094,                 4.9422,                 1.0734,              1.764e-05,              1.764e-05,              1.764e-05
                      2,                 1.6755,                 5.1777,                 1.2201,                      0,                      0,                      0,                      0,                 1.1787,                 4.9138,                 1.0237,             4.0753e-05,             4.0753e-05,             4.0753e-05
                      3,                 1.4827,                 5.0146,                 1.1099,                      0,                      0,                      0,                      0,                 1.1535,                 4.7783,                0.95294,             6.3399e-05,             6.3399e-05,             6.3399e-05
                      4,                 1.2043,                  4.855,                 1.0168,                      0,                      0,                      0,                      0,                0.97579,                 4.6818,                0.87084,              8.558e-05,              8.558e-05,              8.558e-05
                      5,                 1.0787,                  4.605,                0.93416,                      0,                      0,                      0,                      0,                0.89399,                 4.6553,                0.84822,              0.0001073,              0.0001073,              0.0001073
                      6,                 1.0566,                 4.4001,                0.94104,                      0,                      0,                      0,                      0,                0.77438,                 4.5984,                0.82077,             0.00012855,             0.00012855,             0.00012855
                      7,                0.98627,                 4.2042,                0.88893,                      0,                      0,                      0,                      0,                0.65469,                 4.5156,                0.80158,             0.00014933,             0.00014933,             0.00014933
                      8,                0.86415,                  4.078,                0.86828,                      0,                      0,                      0,                      0,                0.62927,                 4.4867,                0.79819,             0.00016965,             0.00016965,             0.00016965
                      9,                  1.023,                 3.9796,                0.87515,                0.00248,                0.01538,                0.00208,                0.00083,                0.69642,                  4.422,                0.79409,              0.0001895,              0.0001895,              0.0001895
                     10,                0.91013,                 3.7193,                0.86679,                0.01014,                0.31154,                0.09428,                0.07681,                0.64201,                 4.2543,                0.77684,             0.00020889,             0.00020889,             0.00020889
                     11,                0.85787,                 3.3994,                0.84959,                0.01136,                0.59615,                0.18167,                0.15262,                0.63397,                 4.0478,                0.76649,             0.00022781,             0.00022781,             0.00022781
                     12,                0.85178,                 2.8874,                0.84179,                0.01073,                0.61538,                 0.2836,                0.26001,                0.61125,                 3.8919,                0.76799,             0.00024626,             0.00024626,             0.00024626
                     13,                0.83772,                 2.7608,                0.83501,                0.01261,                0.76923,                0.27965,                0.24595,                0.64226,                 3.7605,                 0.7713,             0.00026425,             0.00026425,             0.00026425
                     14,                0.84582,                 2.5961,                0.82518,                0.01427,                0.84615,                0.31088,                0.27834,                0.61608,                 3.7309,                 0.7706,             0.00028178,             0.00028178,             0.00028178
                     15,                0.78193,                 2.4569,                0.86175,                0.01221,                0.71795,                 0.4093,                0.36206,                0.59307,                 3.7147,                0.77618,             0.00029884,             0.00029884,             0.00029884
                     16,                0.77422,                 2.2719,                0.83027,                 0.7505,                0.20959,                0.46259,                0.41355,                0.58442,                 3.6627,                0.77749,             0.00031543,             0.00031543,             0.00031543
                     17,                0.74645,                 2.0808,                0.81297,                      1,                0.07306,                0.49082,                0.45198,                0.56424,                 3.5784,                  0.775,             0.00033156,             0.00033156,             0.00033156
                     18,                0.76105,                 1.8823,                0.80786,                      1,                0.08695,                0.61737,                0.55068,                0.55829,                 3.4289,                0.78129,             0.00034722,             0.00034722,             0.00034722
                     19,                0.67625,                 1.8695,                0.82719,                      1,                0.08364,                0.63475,                0.57058,                 0.5262,                 3.3347,                0.77881,             0.00036241,             0.00036241,             0.00036241
                     20,                0.66238,                 1.8869,                0.80991,                0.77691,                0.48389,                 0.6644,                0.60286,                0.53597,                  3.183,                0.77665,             0.00037714,             0.00037714,             0.00037714
                     21,                 0.6446,                  1.644,                0.82109,                0.87921,                0.20472,                0.76526,                0.69079,                0.54943,                  2.954,                0.77979,             0.00039141,             0.00039141,             0.00039141
                     22,                0.71254,                 1.7907,                0.83355,                0.86233,                 0.2732,                0.77336,                0.69301,                0.52698,                 2.7833,                0.77844,             0.00040521,             0.00040521,             0.00040521
                     23,                0.67932,                 1.6125,                0.80052,                0.80518,                0.51797,                0.82267,                0.73849,                0.49129,                 2.6042,                0.77445,             0.00041854,             0.00041854,             0.00041854
                     24,                0.64225,                 1.5855,                0.81933,                 0.7706,                0.49162,                0.83482,                0.75978,                0.47444,                 2.4826,                0.77506,             0.00043141,             0.00043141,             0.00043141
                     25,                0.72804,                 1.6073,                0.82076,                 0.7692,                0.52124,                0.83467,                0.76542,                0.47213,                 2.4038,                0.77436,             0.00044381,             0.00044381,             0.00044381
